"","Animal.Number","Treatment.Group","Dose.Group","Time.Group"
"202",202,"50 MG/KG6 HR",50,6
"203",203,"50 MG/KG6 HR",50,6
"204",204,"50 MG/KG18 HR",50,18
"206",206,"50 MG/KG18 HR",50,18
"208",208,"50 MG/KG24 HR",50,24
"209",209,"50 MG/KG24 HR",50,24
"210",210,"50 MG/KG48 HR",50,48
"211",211,"50 MG/KG48 HR",50,48
"212",212,"50 MG/KG48 HR",50,48
"213",213,"50 MG/KG6 HR",50,6
"214",214,"50 MG/KG6 HR",50,6
"216",216,"50 MG/KG18 HR",50,18
"217",217,"50 MG/KG18 HR",50,18
"220",220,"50 MG/KG24 HR",50,24
"221",221,"50 MG/KG24 HR",50,24
"223",223,"50 MG/KG48 HR",50,48
"302",302,"150MG/KG6 HR",150,6
"303",303,"150MG/KG6 HR",150,6
"306",306,"150MG/KG18 HR",150,18
"307",307,"150MG/KG24 HR",150,24
"308",308,"150MG/KG24 HR",150,24
"310",310,"150MG/KG48 HR",150,48
"311",311,"150MG/KG48 HR",150,48
"312",312,"150MG/KG48 HR",150,48
"314",314,"150MG/KG6 HR",150,6
"315",315,"150MG/KG6 HR",150,6
"316",316,"150MG/KG18 HR",150,18
"317",317,"150MG/KG18 HR",150,18
"318",318,"150MG/KG18 HR",150,18
"319",319,"150MG/KG24 HR",150,24
"320",320,"150MG/KG24 HR",150,24
"324",324,"150MG/KG48 HR",150,48
"402",402,"1500MG/K6 HR",1500,6
"403",403,"1500MG/K6 HR",1500,6
"404",404,"1500MG/K18 HR",1500,18
"405",405,"1500MG/K18 HR",1500,18
"406",406,"1500MG/K18 HR",1500,18
"407",407,"1500MG/K24 HR",1500,24
"411",411,"1500MG/K48 HR",1500,48
"412",412,"1500MG/K48 HR",1500,48
"413",413,"1500MG/K6 HR",1500,6
"414",414,"1500MG/K6 HR",1500,6
"416",416,"1500MG/K18 HR",1500,18
"419",419,"1500MG/K24 HR",1500,24
"420",420,"1500MG/K24 HR",1500,24
"421",421,"1500MG/K24 HR",1500,24
"423",423,"1500MG/K48 HR",1500,48
"424",424,"1500MG/K48 HR",1500,48
"501",501,"2000MG/K6 HR",2000,6
"503",503,"2000MG/K6 HR",2000,6
"505",505,"2000MG/K18 HR",2000,18
"506",506,"2000MG/K18 HR",2000,18
"508",508,"2000MG/K24 HR",2000,24
"509",509,"2000MG/K24 HR",2000,24
"510",510,"2000MG/K48 HR",2000,48
"512",512,"2000MG/K48 HR",2000,48
"513",513,"2000MG/K6 HR",2000,6
"514",514,"2000MG/K6 HR",2000,6
"516",516,"2000MG/K18 HR",2000,18
"518",518,"2000MG/K18 HR",2000,18
"520",520,"2000MG/K24 HR",2000,24
"521",521,"2000MG/K24 HR",2000,24
"522",522,"2000MG/K48 HR",2000,48
"524",524,"2000MG/K48 HR",2000,48
